Election Name,county,precinct,office,district,Party Name,party,candidate,votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2024 Presidential Election,CUMBERLAND,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,918,0,0,700,0,0,218,0,0,0,0,0
2024 Presidential Election,CUMBERLAND,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,934,0,0,696,0,0,238,0,0,0,0,0
2024 Presidential Election,DAUPHIN,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"76,899",0,0,"50,411",0,0,"26,488",0,0,0,0,0
2024 Presidential Election,DAUPHIN,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"68,706",0,0,"55,909",0,0,"12,797",0,0,0,0,0
2024 Presidential Election,DAUPHIN,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,819,0,0,627,0,0,192,0,0,0,0,0
2024 Presidential Election,DAUPHIN,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,874,0,0,623,0,0,251,0,0,0,0,0
2024 Presidential Election,DELAWARE,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"197,404",0,0,"133,435",0,0,"63,969",0,0,0,0,0
2024 Presidential Election,DELAWARE,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"122,026",0,0,"100,303",0,0,"21,723",0,0,0,0,0
2024 Presidential Election,DELAWARE,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,"1,278",0,0,986,0,0,292,0,0,0,0,0
2024 Presidential Election,DELAWARE,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,"2,071",0,0,"1,576",0,0,495,0,0,0,0,0
2024 Presidential Election,ELK,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"4,464",0,0,"2,887",0,0,"1,577",0,0,0,0,0
2024 Presidential Election,ELK,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"12,506",0,0,"10,724",0,0,"1,782",0,0,0,0,0
2024 Presidential Election,ELK,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,75,0,0,60,0,0,15,0,0,0,0,0
2024 Presidential Election,ELK,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,52,0,0,39,0,0,13,0,0,0,0,0
2024 Presidential Election,ERIE,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"65,464",0,0,"41,594",0,0,"23,870",0,0,0,0,0
2024 Presidential Election,ERIE,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"67,399",0,0,"56,476",0,0,"10,923",0,0,0,0,0
2024 Presidential Election,ERIE,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,669,0,0,517,0,0,152,0,0,0,0,0
2024 Presidential Election,ERIE,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,570,0,0,421,0,0,149,0,0,0,0,0
2024 Presidential Election,FAYETTE,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"19,238",0,0,"11,500",0,0,"7,738",0,0,0,0,0
2024 Presidential Election,FAYETTE,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"43,076",0,0,"37,020",0,0,"6,056",0,0,0,0,0
2024 Presidential Election,FAYETTE,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,167,0,0,127,0,0,40,0,0,0,0,0
2024 Presidential Election,FAYETTE,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,120,0,0,84,0,0,36,0,0,0,0,0
2024 Presidential Election,FOREST,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,719,0,0,437,0,0,282,0,0,0,0,0
2024 Presidential Election,FOREST,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"1,897",0,0,"1,583",0,0,314,0,0,0,0,0
2024 Presidential Election,FOREST,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,9,0,0,8,0,0,1,0,0,0,0,0
2024 Presidential Election,FOREST,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,15,0,0,11,0,0,4,0,0,0,0,0
2024 Presidential Election,FRANKLIN,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"23,262",0,0,"14,298",0,0,"8,964",0,0,0,0,0
2024 Presidential Election,FRANKLIN,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"59,339",0,0,"48,120",0,0,"11,219",0,0,0,0,0
2024 Presidential Election,FRANKLIN,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,451,0,0,356,0,0,95,0,0,0,0,0
2024 Presidential Election,FRANKLIN,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,274,0,0,190,0,0,84,0,0,0,0,0
2024 Presidential Election,FULTON,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"1,082",0,0,715,0,0,367,0,0,0,0,0
2024 Presidential Election,FULTON,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"6,984",0,0,"6,059",0,0,925,0,0,0,0,0
2024 Presidential Election,FULTON,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,22,0,0,16,0,0,6,0,0,0,0,0
2024 Presidential Election,FULTON,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,12,0,0,11,0,0,1,0,0,0,0,0
2024 Presidential Election,GREENE,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"4,554",0,0,"2,802",0,0,"1,752",0,0,0,0,0
2024 Presidential Election,GREENE,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"12,258",0,0,"10,649",0,0,"1,609",0,0,0,0,0
2024 Presidential Election,GREENE,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,89,0,0,75,0,0,14,0,0,0,0,0
2024 Presidential Election,GREENE,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,235,0,0,219,0,0,16,0,0,0,0,0
2024 Presidential Election,HUNTINGDON,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"5,332",0,0,"3,592",0,0,"1,740",0,0,0,0,0
2024 Presidential Election,HUNTINGDON,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"17,561",0,0,"15,373",0,0,"2,188",0,0,0,0,0
2024 Presidential Election,HUNTINGDON,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,107,0,0,91,0,0,16,0,0,0,0,0
2024 Presidential Election,HUNTINGDON,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,53,0,0,38,0,0,15,0,0,0,0,0
2024 Presidential Election,INDIANA,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"12,610",0,0,"7,846",0,0,"4,764",0,0,0,0,0
2024 Presidential Election,INDIANA,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"29,112",0,0,"24,660",0,0,"4,452",0,0,0,0,0
2024 Presidential Election,INDIANA,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,192,0,0,147,0,0,45,0,0,0,0,0
2024 Presidential Election,INDIANA,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,122,0,0,78,0,0,44,0,0,0,0,0
2024 Presidential Election,JEFFERSON,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"4,696",0,0,"2,998",0,0,"1,698",0,0,0,0,0
2024 Presidential Election,JEFFERSON,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"18,196",0,0,"15,386",0,0,"2,810",0,0,0,0,0
2024 Presidential Election,JEFFERSON,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,130,0,0,107,0,0,23,0,0,0,0,0
2024 Presidential Election,JEFFERSON,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,56,0,0,45,0,0,11,0,0,0,0,0
2024 Presidential Election,JUNIATA,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"2,285",0,0,"1,489",0,0,796,0,0,0,0,0
2024 Presidential Election,JUNIATA,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"9,688",0,0,"8,308",0,0,"1,380",0,0,0,0,0
2024 Presidential Election,JUNIATA,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,64,0,0,52,0,0,12,0,0,0,0,0
2024 Presidential Election,JUNIATA,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,29,0,0,23,0,0,6,0,0,0,0,0
2024 Presidential Election,LACKAWANNA,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"58,956",0,0,"38,408",0,0,"20,548",0,0,0,0,0
2024 Presidential Election,LACKAWANNA,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"55,744",0,0,"45,789",0,0,"9,955",0,0,0,0,0
2024 Presidential Election,LACKAWANNA,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,420,0,0,316,0,0,104,0,0,0,0,0
2024 Presidential Election,LACKAWANNA,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,388,0,0,260,0,0,128,0,0,0,0,0
2024 Presidential Election,LANCASTER,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"117,526",0,0,"79,349",0,0,"38,177",0,0,0,0,0
2024 Presidential Election,LANCASTER,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"164,386",0,0,"140,190",0,0,"24,196",0,0,0,0,0
2024 Presidential Election,LANCASTER,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,"1,705",0,0,"1,387",0,0,318,0,0,0,0,0
2024 Presidential Election,LANCASTER,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,"1,123",0,0,849,0,0,274,0,0,0,0,0
2024 Presidential Election,LAWRENCE,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"15,281",0,0,"9,814",0,0,"5,467",0,0,0,0,0
2024 Presidential Election,LAWRENCE,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"31,164",0,0,"25,669",0,0,"5,495",0,0,0,0,0
2024 Presidential Election,LAWRENCE,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,179,0,0,144,0,0,35,0,0,0,0,0
2024 Presidential Election,LAWRENCE,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,143,0,0,108,0,0,35,0,0,0,0,0
2024 Presidential Election,LEBANON,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"24,265",0,0,"14,784",0,0,"9,481",0,0,0,0,0
2024 Presidential Election,LEBANON,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"47,775",0,0,"39,124",0,0,"8,651",0,0,0,0,0
2024 Presidential Election,LEBANON,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,382,0,0,316,0,0,66,0,0,0,0,0
2024 Presidential Election,LEBANON,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,278,0,0,195,0,0,83,0,0,0,0,0
2024 Presidential Election,LEHIGH,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"94,235",0,0,"57,280",0,0,"36,955",0,0,0,0,0
2024 Presidential Election,LEHIGH,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"89,704",0,0,"70,856",0,0,"18,848",0,0,0,0,0
2024 Presidential Election,LEHIGH,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,837,0,0,619,0,0,218,0,0,0,0,0
2024 Presidential Election,LEHIGH,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,"1,398",0,0,953,0,0,445,0,0,0,0,0
2024 Presidential Election,LUZERNE,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"59,966",0,0,"36,004",0,0,"23,962",0,0,0,0,0
2024 Presidential Election,LUZERNE,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"90,370",0,0,"75,152",0,0,"15,218",0,0,0,0,0
2024 Presidential Election,LUZERNE,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,626,0,0,460,0,0,166,0,0,0,0,0
2024 Presidential Election,LUZERNE,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,531,0,0,384,0,0,147,0,0,0,0,0
2024 Presidential Election,LYCOMING,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"17,012",0,0,"11,596",0,0,"5,416",0,0,0,0,0
2024 Presidential Election,LYCOMING,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"41,677",0,0,"34,885",0,0,"6,792",0,0,0,0,0
2024 Presidential Election,LYCOMING,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,290,0,0,246,0,0,44,0,0,0,0,0
2024 Presidential Election,LYCOMING,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,207,0,0,148,0,0,59,0,0,0,0,0
2024 Presidential Election,McKEAN,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"5,066",0,0,"3,421",0,0,"1,645",0,0,0,0,0
2024 Presidential Election,McKEAN,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"14,323",0,0,"12,317",0,0,"2,006",0,0,0,0,0
2024 Presidential Election,McKEAN,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,108,0,0,94,0,0,14,0,0,0,0,0
2024 Presidential Election,McKEAN,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,57,0,0,48,0,0,9,0,0,0,0,0
2024 Presidential Election,MERCER,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"19,341",0,0,"13,215",0,0,"6,126",0,0,0,0,0
2024 Presidential Election,MERCER,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"36,761",0,0,"30,716",0,0,"6,045",0,0,0,0,0
2024 Presidential Election,MERCER,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,301,0,0,242,0,0,59,0,0,0,0,0
2024 Presidential Election,MERCER,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,184,0,0,152,0,0,32,0,0,0,0,0
2024 Presidential Election,MIFFLIN,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"4,675",0,0,"2,716",0,0,"1,959",0,0,0,0,0
