county,precinct,office,district,party,candidate,votes,election_day,absentee/mail-in,provisional
Cambria,Adams Township - Elton,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,1,1,0,0
Cambria,Adams Township - Gramlingtown,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",101,70,31,0
Cambria,Adams Township - Gramlingtown,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",426,392,34,0
Cambria,Adams Township - Gramlingtown,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",6,6,0,0
Cambria,Adams Township - Gramlingtown,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",0,0,0,0
Cambria,Adams Township - Gramlingtown,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,2,1,1,0
Cambria,Adams Township - St. Michael,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",210,140,70,0
Cambria,Adams Township - St. Michael,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",437,404,33,0
Cambria,Adams Township - St. Michael,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",2,2,0,0
Cambria,Adams Township - St. Michael,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",3,1,2,0
Cambria,Adams Township - St. Michael,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,4,3,1,0
Cambria,Allegheny Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",213,103,110,0
Cambria,Allegheny Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",815,684,131,0
Cambria,Allegheny Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",5,3,2,0
Cambria,Allegheny Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",2,2,0,0
Cambria,Allegheny Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,2,1,1,0
Cambria,Ashville Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",31,23,8,0
Cambria,Ashville Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",94,82,12,0
Cambria,Ashville Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",1,1,0,0
Cambria,Ashville Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",3,3,0,0
Cambria,Ashville Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,0,0,0,0
Cambria,Barr Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",201,116,85,0
Cambria,Barr Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",1044,908,136,0
Cambria,Barr Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",2,2,0,0
Cambria,Barr Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",1,1,0,0
Cambria,Barr Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,1,0,1,0
Cambria,Blacklick Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",249,143,105,1
Cambria,Blacklick Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",856,723,132,1
Cambria,Blacklick Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",2,0,2,0
Cambria,Blacklick Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",2,0,2,0
Cambria,Blacklick Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,1,0,1,0
Cambria,Brownstown Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",145,99,46,0
Cambria,Brownstown Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",231,200,30,1
Cambria,Brownstown Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",3,2,1,0
Cambria,Brownstown Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",2,2,0,0
Cambria,Brownstown Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,0,0,0,0
Cambria,Cambria Township No. 1,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",349,187,162,0
Cambria,Cambria Township No. 1,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",720,538,181,1
Cambria,Cambria Township No. 1,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",6,4,2,0
Cambria,Cambria Township No. 1,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",3,1,2,0
Cambria,Cambria Township No. 1,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,5,5,0,0
Cambria,Cambria Township - Colver,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",185,136,49,0
Cambria,Cambria Township - Colver,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",563,498,64,1
Cambria,Cambria Township - Colver,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",7,4,3,0
Cambria,Cambria Township - Colver,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",2,2,0,0
Cambria,Cambria Township - Colver,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,1,0,1,0
Cambria,Cambria Township - Revloc,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",116,92,24,0
Cambria,Cambria Township - Revloc,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",335,295,40,0
Cambria,Cambria Township - Revloc,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",2,2,0,0
Cambria,Cambria Township - Revloc,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",2,2,0,0
Cambria,Cambria Township - Revloc,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,1,1,0,0
Cambria,Cambria Township No. 4,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",231,128,103,0
Cambria,Cambria Township No. 4,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",659,533,126,0
Cambria,Cambria Township No. 4,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",5,5,0,0
Cambria,Cambria Township No. 4,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",2,2,0,0
Cambria,Cambria Township No. 4,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,7,5,2,0
Cambria,Carrolltown Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",204,140,64,0
Cambria,Carrolltown Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",438,381,57,0
Cambria,Carrolltown Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",4,4,0,0
Cambria,Carrolltown Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",0,0,0,0
Cambria,Carrolltown Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,3,2,1,0
Cambria,Cassandra Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",20,12,8,0
Cambria,Cassandra Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",61,55,6,0
Cambria,Cassandra Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",0,0,0,0
Cambria,Cassandra Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",0,0,0,0
Cambria,Cassandra Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,0,0,0,0
Cambria,Chest Springs Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",24,20,4,0
Cambria,Chest Springs Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",74,71,3,0
Cambria,Chest Springs Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",3,2,1,0
Cambria,Chest Springs Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",0,0,0,0
Cambria,Chest Springs Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,0,0,0,0
Cambria,Chest Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",60,36,24,0
Cambria,Chest Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",226,202,24,0
Cambria,Chest Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",1,1,0,0
Cambria,Chest Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",1,1,0,0
Cambria,Chest Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,0,0,0,0
Cambria,Clearfield Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",204,109,95,0
Cambria,Clearfield Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",758,636,122,0
Cambria,Clearfield Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",8,7,1,0
Cambria,Clearfield Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",1,1,0,0
Cambria,Clearfield Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,3,1,2,0
Cambria,Conemaugh Township - Cover Hill,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",108,69,39,0
Cambria,Conemaugh Township - Cover Hill,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",435,357,77,1
Cambria,Conemaugh Township - Cover Hill,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",7,5,2,0
Cambria,Conemaugh Township - Cover Hill,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",1,1,0,0
Cambria,Conemaugh Township - Cover Hill,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,3,3,0,0
Cambria,Conemaugh Township - Center,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",141,84,54,3
Cambria,Conemaugh Township - Center,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",506,431,74,1
Cambria,Conemaugh Township - Center,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",1,1,0,0
Cambria,Conemaugh Township - Center,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",3,3,0,0
Cambria,Conemaugh Township - Center,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,1,1,0,0
Cambria,Cresson Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",229,147,82,0
Cambria,Cresson Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",539,481,57,1
Cambria,Cresson Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",4,4,0,0
Cambria,Cresson Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",3,3,0,0
Cambria,Cresson Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,3,3,0,0
Cambria,Cresson Township - North,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",216,138,78,0
Cambria,Cresson Township - North,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",550,474,75,1
Cambria,Cresson Township - North,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",0,0,0,0
Cambria,Cresson Township - North,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",2,2,0,0
Cambria,Cresson Township - North,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,3,3,0,0
Cambria,Cresson Township - South,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",188,125,62,1
Cambria,Cresson Township - South,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",475,410,64,1
Cambria,Cresson Township - South,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",6,4,2,0
Cambria,Cresson Township - South,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",1,1,0,0
Cambria,Cresson Township - South,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,3,3,0,0
Cambria,Croyle Township No. 1,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",143,87,56,0
Cambria,Croyle Township No. 1,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",540,468,71,1
Cambria,Croyle Township No. 1,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",4,4,0,0
Cambria,Croyle Township No. 1,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",1,1,0,0
Cambria,Croyle Township No. 1,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,2,1,1,0
Cambria,Croyle Township No. 2,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",164,107,57,0
Cambria,Croyle Township No. 2,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",550,493,56,1
Cambria,Croyle Township No. 2,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",2,1,1,0
Cambria,Croyle Township No. 2,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",3,3,0,0
Cambria,Croyle Township No. 2,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,2,2,0,0
Cambria,Daisytown Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",37,26,11,0
Cambria,Daisytown Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",144,132,12,0
Cambria,Daisytown Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",0,0,0,0
Cambria,Daisytown Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",0,0,0,0
Cambria,Daisytown Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,0,0,0,0
Cambria,Dale Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",162,107,55,0
Cambria,Dale Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",223,193,30,0
Cambria,Dale Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",1,1,0,0
Cambria,Dale Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",2,2,0,0
Cambria,Dale Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,0,0,0,0
Cambria,Dean Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",60,36,24,0
Cambria,Dean Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",175,151,24,0
Cambria,Dean Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",2,2,0,0
Cambria,Dean Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",2,2,0,0
Cambria,Dean Township,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,3,0,3,0
Cambria,East Carroll Township - North,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",67,42,24,1
Cambria,East Carroll Township - North,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",154,135,19,0
Cambria,East Carroll Township - North,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",0,0,0,0
Cambria,East Carroll Township - North,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",0,0,0,0
Cambria,East Carroll Township - North,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,0,0,0,0
Cambria,East Carroll Township - South,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",146,87,58,1
Cambria,East Carroll Township - South,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",604,529,75,0
Cambria,East Carroll Township - South,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",4,3,1,0
Cambria,East Carroll Township - South,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",3,3,0,0
Cambria,East Carroll Township - South,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,0,0,0,0
Cambria,East Conemaugh Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",142,102,40,0
Cambria,East Conemaugh Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",286,246,40,0
Cambria,East Conemaugh Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",6,6,0,0
Cambria,East Conemaugh Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",4,3,1,0
Cambria,East Conemaugh Borough,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,0,0,0,0
Cambria,East Taylor Township No. 1,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",203,117,86,0
Cambria,East Taylor Township No. 1,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",706,609,97,0
