ElectionDate,OfficeCode(text),DistrictCode(Text),StatusCode,CountyCode,county,precinct,zoffice1,office,district,PartyOrder,PartyDescription,party,CandidateID,candidate,CandidateFirstName,CandidateMiddleName,CandidateFormerName,votes,WriteIn(W)/Uncommitted(Z),Recount(*),Nomindated(N)/Elected(E)
11/5/2024,1,0,0,1,ALCONA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481362,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,1,ALCONA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481363,WRITE-IN,,,,1,Y,,
11/5/2024,1,0,0,2,ALGER,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,5,GREEN,,5006,STEIN,JILL,,,9,,,
11/5/2024,1,0,0,2,ALGER,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,1,DEMOCRATIC,DEM,376696,HARRIS,KAMALA,D.,,2075,,,
11/5/2024,1,0,0,2,ALGER,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,2,REPUBLICAN,REP,439008,TRUMP,DONALD,J.,,3116,,,
11/5/2024,1,0,0,2,ALGER,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,3,LIBERTARIAN,,466421,OLIVER,CHASE,,,23,,,
11/5/2024,1,0,0,2,ALGER,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,4,U.S. TAXPAYERS,,466422,TERRY,RANDALL,,,6,,,
11/5/2024,1,0,0,2,ALGER,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,7,NATURAL LAW,,466423,"KENNEDY, JR.",ROBERT,F.,,28,,,
11/5/2024,1,0,0,2,ALGER,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,466425,KISHORE,JOSEPH,,,1,,,
11/5/2024,1,0,0,2,ALGER,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,480174,WEST,CORNEL,,,0,,,
11/5/2024,1,0,0,2,ALGER,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481360,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,2,ALGER,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481361,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,2,ALGER,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481362,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,2,ALGER,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481363,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,3,ALLEGAN,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,5,GREEN,,5006,STEIN,JILL,,,151,,,
11/5/2024,1,0,0,3,ALLEGAN,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,1,DEMOCRATIC,DEM,376696,HARRIS,KAMALA,D.,,23648,,,
11/5/2024,1,0,0,3,ALLEGAN,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,2,REPUBLICAN,REP,439008,TRUMP,DONALD,J.,,43072,,,
11/5/2024,1,0,0,3,ALLEGAN,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,3,LIBERTARIAN,,466421,OLIVER,CHASE,,,347,,,
11/5/2024,1,0,0,3,ALLEGAN,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,4,U.S. TAXPAYERS,,466422,TERRY,RANDALL,,,81,,,
11/5/2024,1,0,0,3,ALLEGAN,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,7,NATURAL LAW,,466423,"KENNEDY, JR.",ROBERT,F.,,361,,,
11/5/2024,1,0,0,3,ALLEGAN,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,466425,KISHORE,JOSEPH,,,21,,,
11/5/2024,1,0,0,3,ALLEGAN,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,480174,WEST,CORNEL,,,25,,,
11/5/2024,1,0,0,3,ALLEGAN,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481360,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,3,ALLEGAN,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481361,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,3,ALLEGAN,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481362,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,3,ALLEGAN,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481363,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,4,ALPENA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,5,GREEN,,5006,STEIN,JILL,,,22,,,
11/5/2024,1,0,0,4,ALPENA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,1,DEMOCRATIC,DEM,376696,HARRIS,KAMALA,D.,,6036,,,
11/5/2024,1,0,0,4,ALPENA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,2,REPUBLICAN,REP,439008,TRUMP,DONALD,J.,,10965,,,
11/5/2024,1,0,0,4,ALPENA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,3,LIBERTARIAN,,466421,OLIVER,CHASE,,,76,,,
11/5/2024,1,0,0,4,ALPENA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,4,U.S. TAXPAYERS,,466422,TERRY,RANDALL,,,25,,,
11/5/2024,1,0,0,4,ALPENA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,7,NATURAL LAW,,466423,"KENNEDY, JR.",ROBERT,F.,,73,,,
11/5/2024,1,0,0,4,ALPENA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,466425,KISHORE,JOSEPH,,,4,,,
11/5/2024,1,0,0,4,ALPENA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,480174,WEST,CORNEL,,,5,,,
11/5/2024,1,0,0,4,ALPENA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481360,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,4,ALPENA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481361,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,4,ALPENA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481362,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,4,ALPENA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481363,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,5,ANTRIM,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,5,GREEN,,5006,STEIN,JILL,,,29,,,
11/5/2024,1,0,0,5,ANTRIM,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,1,DEMOCRATIC,DEM,376696,HARRIS,KAMALA,D.,,6328,,,
11/5/2024,1,0,0,5,ANTRIM,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,2,REPUBLICAN,REP,439008,TRUMP,DONALD,J.,,10340,,,
11/5/2024,1,0,0,5,ANTRIM,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,3,LIBERTARIAN,,466421,OLIVER,CHASE,,,70,,,
11/5/2024,1,0,0,5,ANTRIM,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,4,U.S. TAXPAYERS,,466422,TERRY,RANDALL,,,16,,,
11/5/2024,1,0,0,5,ANTRIM,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,7,NATURAL LAW,,466423,"KENNEDY, JR.",ROBERT,F.,,81,,,
11/5/2024,1,0,0,5,ANTRIM,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,466425,KISHORE,JOSEPH,,,9,,,
11/5/2024,1,0,0,5,ANTRIM,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,480174,WEST,CORNEL,,,6,,,
11/5/2024,1,0,0,5,ANTRIM,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481360,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,5,ANTRIM,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481361,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,5,ANTRIM,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481362,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,5,ANTRIM,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481363,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,6,ARENAC,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,5,GREEN,,5006,STEIN,JILL,,,13,,,
11/5/2024,1,0,0,6,ARENAC,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,1,DEMOCRATIC,DEM,376696,HARRIS,KAMALA,D.,,2661,,,
11/5/2024,1,0,0,6,ARENAC,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,2,REPUBLICAN,REP,439008,TRUMP,DONALD,J.,,6379,,,
11/5/2024,1,0,0,6,ARENAC,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,3,LIBERTARIAN,,466421,OLIVER,CHASE,,,42,,,
11/5/2024,1,0,0,6,ARENAC,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,4,U.S. TAXPAYERS,,466422,TERRY,RANDALL,,,14,,,
11/5/2024,1,0,0,6,ARENAC,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,7,NATURAL LAW,,466423,"KENNEDY, JR.",ROBERT,F.,,43,,,
11/5/2024,1,0,0,6,ARENAC,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,466425,KISHORE,JOSEPH,,,4,,,
11/5/2024,1,0,0,6,ARENAC,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,480174,WEST,CORNEL,,,1,,,
11/5/2024,1,0,0,6,ARENAC,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481360,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,6,ARENAC,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481361,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,6,ARENAC,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481362,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,6,ARENAC,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481363,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,7,BARAGA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,5,GREEN,,5006,STEIN,JILL,,,9,,,
11/5/2024,1,0,0,7,BARAGA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,1,DEMOCRATIC,DEM,376696,HARRIS,KAMALA,D.,,1488,,,
11/5/2024,1,0,0,7,BARAGA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,2,REPUBLICAN,REP,439008,TRUMP,DONALD,J.,,2778,,,
11/5/2024,1,0,0,7,BARAGA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,3,LIBERTARIAN,,466421,OLIVER,CHASE,,,13,,,
11/5/2024,1,0,0,7,BARAGA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,4,U.S. TAXPAYERS,,466422,TERRY,RANDALL,,,11,,,
11/5/2024,1,0,0,7,BARAGA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,7,NATURAL LAW,,466423,"KENNEDY, JR.",ROBERT,F.,,29,,,
11/5/2024,1,0,0,7,BARAGA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,466425,KISHORE,JOSEPH,,,1,,,
11/5/2024,1,0,0,7,BARAGA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,480174,WEST,CORNEL,,,2,,,
11/5/2024,1,0,0,7,BARAGA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481360,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,7,BARAGA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481361,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,7,BARAGA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481362,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,7,BARAGA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481363,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,8,BARRY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,5,GREEN,,5006,STEIN,JILL,,,68,,,
11/5/2024,1,0,0,8,BARRY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,1,DEMOCRATIC,DEM,376696,HARRIS,KAMALA,D.,,12391,,,
11/5/2024,1,0,0,8,BARRY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,2,REPUBLICAN,REP,439008,TRUMP,DONALD,J.,,25649,,,
11/5/2024,1,0,0,8,BARRY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,3,LIBERTARIAN,,466421,OLIVER,CHASE,,,178,,,
11/5/2024,1,0,0,8,BARRY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,4,U.S. TAXPAYERS,,466422,TERRY,RANDALL,,,66,,,
11/5/2024,1,0,0,8,BARRY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,7,NATURAL LAW,,466423,"KENNEDY, JR.",ROBERT,F.,,244,,,
11/5/2024,1,0,0,8,BARRY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,466425,KISHORE,JOSEPH,,,13,,,
11/5/2024,1,0,0,8,BARRY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,480174,WEST,CORNEL,,,11,,,
11/5/2024,1,0,0,8,BARRY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481360,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,8,BARRY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481361,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,8,BARRY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481362,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,8,BARRY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481363,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,9,BAY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,5,GREEN,,5006,STEIN,JILL,,,136,,,
11/5/2024,1,0,0,9,BAY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,1,DEMOCRATIC,DEM,376696,HARRIS,KAMALA,D.,,25725,,,
11/5/2024,1,0,0,9,BAY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,2,REPUBLICAN,REP,439008,TRUMP,DONALD,J.,,34736,,,
11/5/2024,1,0,0,9,BAY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,3,LIBERTARIAN,,466421,OLIVER,CHASE,,,194,,,
11/5/2024,1,0,0,9,BAY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,4,U.S. TAXPAYERS,,466422,TERRY,RANDALL,,,66,,,
11/5/2024,1,0,0,9,BAY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,7,NATURAL LAW,,466423,"KENNEDY, JR.",ROBERT,F.,,287,,,
11/5/2024,1,0,0,9,BAY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,466425,KISHORE,JOSEPH,,,53,,,
11/5/2024,1,0,0,9,BAY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,480174,WEST,CORNEL,,,34,,,
11/5/2024,1,0,0,9,BAY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481360,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,9,BAY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481361,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,9,BAY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481362,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,9,BAY,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481363,WRITE-IN,,,,0,Y,,
