county,precinct,candidate,votes,voteType,party,office
St. Joseph,"City of Three Rivers, Precinct 1",Kamala D. Harris,740,Total,Democrat,President/Vice-President
St. Joseph,"City of Three Rivers, Precinct 2",Kamala D. Harris,711,Total,Democrat,President/Vice-President
St. Joseph,ALL,Donald J. Trump,19402,Total,Republican,President/Vice-President
St. Joseph,"Burr Oak Township, Precinct 1",Donald J. Trump,943,Total,Republican,President/Vice-President
St. Joseph,"Colon Township, Precinct 1",Donald J. Trump,1155,Total,Republican,President/Vice-President
St. Joseph,"Constantine Township, Precinct 1",Donald J. Trump,805,Total,Republican,President/Vice-President
St. Joseph,"Constantine Township, Precinct 2",Donald J. Trump,572,Total,Republican,President/Vice-President
St. Joseph,"Fabius Township, Precinct 1",Donald J. Trump,1340,Total,Republican,President/Vice-President
St. Joseph,"Fawn River Township, Precinct 1",Donald J. Trump,574,Total,Republican,President/Vice-President
St. Joseph,"Florence Township, Precinct 1",Donald J. Trump,488,Total,Republican,President/Vice-President
St. Joseph,"Flowerfield Township, Precinct 1",Donald J. Trump,693,Total,Republican,President/Vice-President
St. Joseph,"Leonidas Township, Precinct 1",Donald J. Trump,439,Total,Republican,President/Vice-President
St. Joseph,"Lockport Township, Precinct 1",Donald J. Trump,1326,Total,Republican,President/Vice-President
St. Joseph,"Mendon Township, Precinct 1",Donald J. Trump,1055,Total,Republican,President/Vice-President
St. Joseph,"Mottville Township, Precinct 1",Donald J. Trump,538,Total,Republican,President/Vice-President
St. Joseph,"Nottawa Township, Precinct 1",Donald J. Trump,1196,Total,Republican,President/Vice-President
St. Joseph,"Park Township, Precinct 1",Donald J. Trump,928,Total,Republican,President/Vice-President
St. Joseph,"Sherman Township, Precinct 1",Donald J. Trump,1296,Total,Republican,President/Vice-President
St. Joseph,"Sturgis Township, Precinct 1",Donald J. Trump,650,Total,Republican,President/Vice-President
St. Joseph,"White Pigeon Township, Precinct 1",Donald J. Trump,1410,Total,Republican,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 1",Donald J. Trump,835,Total,Republican,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 2",Donald J. Trump,398,Total,Republican,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 3",Donald J. Trump,475,Total,Republican,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 4",Donald J. Trump,584,Total,Republican,President/Vice-President
St. Joseph,"City of Three Rivers, Precinct 1",Donald J. Trump,798,Total,Republican,President/Vice-President
St. Joseph,"City of Three Rivers, Precinct 2",Donald J. Trump,904,Total,Republican,President/Vice-President
St. Joseph,ALL,Chase Oliver,138,Total,Libertarian,President/Vice-President
St. Joseph,"Burr Oak Township, Precinct 1",Chase Oliver,5,Total,Libertarian,President/Vice-President
St. Joseph,"Colon Township, Precinct 1",Chase Oliver,12,Total,Libertarian,President/Vice-President
St. Joseph,"Constantine Township, Precinct 1",Chase Oliver,4,Total,Libertarian,President/Vice-President
St. Joseph,"Constantine Township, Precinct 2",Chase Oliver,4,Total,Libertarian,President/Vice-President
St. Joseph,"Fabius Township, Precinct 1",Chase Oliver,7,Total,Libertarian,President/Vice-President
St. Joseph,"Fawn River Township, Precinct 1",Chase Oliver,2,Total,Libertarian,President/Vice-President
St. Joseph,"Florence Township, Precinct 1",Chase Oliver,1,Total,Libertarian,President/Vice-President
St. Joseph,"Flowerfield Township, Precinct 1",Chase Oliver,5,Total,Libertarian,President/Vice-President
St. Joseph,"Leonidas Township, Precinct 1",Chase Oliver,1,Total,Libertarian,President/Vice-President
St. Joseph,"Lockport Township, Precinct 1",Chase Oliver,8,Total,Libertarian,President/Vice-President
St. Joseph,"Mendon Township, Precinct 1",Chase Oliver,7,Total,Libertarian,President/Vice-President
St. Joseph,"Mottville Township, Precinct 1",Chase Oliver,5,Total,Libertarian,President/Vice-President
St. Joseph,"Nottawa Township, Precinct 1",Chase Oliver,5,Total,Libertarian,President/Vice-President
St. Joseph,"Park Township, Precinct 1",Chase Oliver,3,Total,Libertarian,President/Vice-President
St. Joseph,"Sherman Township, Precinct 1",Chase Oliver,9,Total,Libertarian,President/Vice-President
St. Joseph,"Sturgis Township, Precinct 1",Chase Oliver,3,Total,Libertarian,President/Vice-President
St. Joseph,"White Pigeon Township, Precinct 1",Chase Oliver,7,Total,Libertarian,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 1",Chase Oliver,10,Total,Libertarian,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 2",Chase Oliver,5,Total,Libertarian,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 3",Chase Oliver,12,Total,Libertarian,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 4",Chase Oliver,2,Total,Libertarian,President/Vice-President
St. Joseph,"City of Three Rivers, Precinct 1",Chase Oliver,10,Total,Libertarian,President/Vice-President
St. Joseph,"City of Three Rivers, Precinct 2",Chase Oliver,11,Total,Libertarian,President/Vice-President
St. Joseph,ALL,Randall Terry,26,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"Burr Oak Township, Precinct 1",Randall Terry,0,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"Colon Township, Precinct 1",Randall Terry,0,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"Constantine Township, Precinct 1",Randall Terry,1,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"Constantine Township, Precinct 2",Randall Terry,0,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"Fabius Township, Precinct 1",Randall Terry,1,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"Fawn River Township, Precinct 1",Randall Terry,0,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"Florence Township, Precinct 1",Randall Terry,1,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"Flowerfield Township, Precinct 1",Randall Terry,0,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"Leonidas Township, Precinct 1",Randall Terry,0,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"Lockport Township, Precinct 1",Randall Terry,2,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"Mendon Township, Precinct 1",Randall Terry,0,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"Mottville Township, Precinct 1",Randall Terry,0,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"Nottawa Township, Precinct 1",Randall Terry,2,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"Park Township, Precinct 1",Randall Terry,3,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"Sherman Township, Precinct 1",Randall Terry,4,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"Sturgis Township, Precinct 1",Randall Terry,1,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"White Pigeon Township, Precinct 1",Randall Terry,2,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 1",Randall Terry,2,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 2",Randall Terry,1,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 3",Randall Terry,1,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 4",Randall Terry,0,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"City of Three Rivers, Precinct 1",Randall Terry,2,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,"City of Three Rivers, Precinct 2",Randall Terry,3,Total,U.S. Taxpayers,President/Vice-President
St. Joseph,ALL,Jill Stein,62,Total,Green,President/Vice-President
St. Joseph,"Burr Oak Township, Precinct 1",Jill Stein,2,Total,Green,President/Vice-President
St. Joseph,"Colon Township, Precinct 1",Jill Stein,0,Total,Green,President/Vice-President
St. Joseph,"Constantine Township, Precinct 1",Jill Stein,3,Total,Green,President/Vice-President
St. Joseph,"Constantine Township, Precinct 2",Jill Stein,2,Total,Green,President/Vice-President
St. Joseph,"Fabius Township, Precinct 1",Jill Stein,3,Total,Green,President/Vice-President
St. Joseph,"Fawn River Township, Precinct 1",Jill Stein,2,Total,Green,President/Vice-President
St. Joseph,"Florence Township, Precinct 1",Jill Stein,0,Total,Green,President/Vice-President
St. Joseph,"Flowerfield Township, Precinct 1",Jill Stein,1,Total,Green,President/Vice-President
St. Joseph,"Leonidas Township, Precinct 1",Jill Stein,2,Total,Green,President/Vice-President
St. Joseph,"Lockport Township, Precinct 1",Jill Stein,4,Total,Green,President/Vice-President
St. Joseph,"Mendon Township, Precinct 1",Jill Stein,4,Total,Green,President/Vice-President
St. Joseph,"Mottville Township, Precinct 1",Jill Stein,1,Total,Green,President/Vice-President
St. Joseph,"Nottawa Township, Precinct 1",Jill Stein,7,Total,Green,President/Vice-President
St. Joseph,"Park Township, Precinct 1",Jill Stein,0,Total,Green,President/Vice-President
St. Joseph,"Sherman Township, Precinct 1",Jill Stein,2,Total,Green,President/Vice-President
St. Joseph,"Sturgis Township, Precinct 1",Jill Stein,4,Total,Green,President/Vice-President
St. Joseph,"White Pigeon Township, Precinct 1",Jill Stein,3,Total,Green,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 1",Jill Stein,3,Total,Green,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 2",Jill Stein,3,Total,Green,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 3",Jill Stein,2,Total,Green,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 4",Jill Stein,0,Total,Green,President/Vice-President
St. Joseph,"City of Three Rivers, Precinct 1",Jill Stein,8,Total,Green,President/Vice-President
St. Joseph,"City of Three Rivers, Precinct 2",Jill Stein,6,Total,Green,President/Vice-President
St. Joseph,ALL,"Robert F. Kennedy, Jr. ",197,Total,Natural Law,President/Vice-President
St. Joseph,"Burr Oak Township, Precinct 1","Robert F. Kennedy, Jr. ",4,Total,Natural Law,President/Vice-President
St. Joseph,"Colon Township, Precinct 1","Robert F. Kennedy, Jr. ",11,Total,Natural Law,President/Vice-President
St. Joseph,"Constantine Township, Precinct 1","Robert F. Kennedy, Jr. ",8,Total,Natural Law,President/Vice-President
St. Joseph,"Constantine Township, Precinct 2","Robert F. Kennedy, Jr. ",11,Total,Natural Law,President/Vice-President
St. Joseph,"Fabius Township, Precinct 1","Robert F. Kennedy, Jr. ",12,Total,Natural Law,President/Vice-President
St. Joseph,"Fawn River Township, Precinct 1","Robert F. Kennedy, Jr. ",8,Total,Natural Law,President/Vice-President
St. Joseph,"Florence Township, Precinct 1","Robert F. Kennedy, Jr. ",3,Total,Natural Law,President/Vice-President
St. Joseph,"Flowerfield Township, Precinct 1","Robert F. Kennedy, Jr. ",4,Total,Natural Law,President/Vice-President
St. Joseph,"Leonidas Township, Precinct 1","Robert F. Kennedy, Jr. ",1,Total,Natural Law,President/Vice-President
St. Joseph,"Lockport Township, Precinct 1","Robert F. Kennedy, Jr. ",19,Total,Natural Law,President/Vice-President
St. Joseph,"Mendon Township, Precinct 1","Robert F. Kennedy, Jr. ",6,Total,Natural Law,President/Vice-President
St. Joseph,"Mottville Township, Precinct 1","Robert F. Kennedy, Jr. ",2,Total,Natural Law,President/Vice-President
St. Joseph,"Nottawa Township, Precinct 1","Robert F. Kennedy, Jr. ",14,Total,Natural Law,President/Vice-President
St. Joseph,"Park Township, Precinct 1","Robert F. Kennedy, Jr. ",5,Total,Natural Law,President/Vice-President
St. Joseph,"Sherman Township, Precinct 1","Robert F. Kennedy, Jr. ",15,Total,Natural Law,President/Vice-President
St. Joseph,"Sturgis Township, Precinct 1","Robert F. Kennedy, Jr. ",14,Total,Natural Law,President/Vice-President
St. Joseph,"White Pigeon Township, Precinct 1","Robert F. Kennedy, Jr. ",11,Total,Natural Law,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 1","Robert F. Kennedy, Jr. ",10,Total,Natural Law,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 2","Robert F. Kennedy, Jr. ",5,Total,Natural Law,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 3","Robert F. Kennedy, Jr. ",7,Total,Natural Law,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 4","Robert F. Kennedy, Jr. ",9,Total,Natural Law,President/Vice-President
St. Joseph,"City of Three Rivers, Precinct 1","Robert F. Kennedy, Jr. ",14,Total,Natural Law,President/Vice-President
St. Joseph,"City of Three Rivers, Precinct 2","Robert F. Kennedy, Jr. ",4,Total,Natural Law,President/Vice-President
St. Joseph,ALL,Joseph Kishore,9,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Burr Oak Township, Precinct 1",Joseph Kishore,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Colon Township, Precinct 1",Joseph Kishore,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Constantine Township, Precinct 1",Joseph Kishore,2,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Constantine Township, Precinct 2",Joseph Kishore,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Fabius Township, Precinct 1",Joseph Kishore,1,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Fawn River Township, Precinct 1",Joseph Kishore,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Florence Township, Precinct 1",Joseph Kishore,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Flowerfield Township, Precinct 1",Joseph Kishore,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Leonidas Township, Precinct 1",Joseph Kishore,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Lockport Township, Precinct 1",Joseph Kishore,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Mendon Township, Precinct 1",Joseph Kishore,1,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Mottville Township, Precinct 1",Joseph Kishore,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Nottawa Township, Precinct 1",Joseph Kishore,1,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Park Township, Precinct 1",Joseph Kishore,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Sherman Township, Precinct 1",Joseph Kishore,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Sturgis Township, Precinct 1",Joseph Kishore,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"White Pigeon Township, Precinct 1",Joseph Kishore,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 1",Joseph Kishore,2,Total,No Party Affiliation,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 2",Joseph Kishore,1,Total,No Party Affiliation,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 3",Joseph Kishore,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 4",Joseph Kishore,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"City of Three Rivers, Precinct 1",Joseph Kishore,1,Total,No Party Affiliation,President/Vice-President
St. Joseph,"City of Three Rivers, Precinct 2",Joseph Kishore,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,ALL,Cornel West,20,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Burr Oak Township, Precinct 1",Cornel West,1,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Colon Township, Precinct 1",Cornel West,2,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Constantine Township, Precinct 1",Cornel West,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Constantine Township, Precinct 2",Cornel West,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Fabius Township, Precinct 1",Cornel West,1,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Fawn River Township, Precinct 1",Cornel West,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Florence Township, Precinct 1",Cornel West,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Flowerfield Township, Precinct 1",Cornel West,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Leonidas Township, Precinct 1",Cornel West,1,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Lockport Township, Precinct 1",Cornel West,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Mendon Township, Precinct 1",Cornel West,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Mottville Township, Precinct 1",Cornel West,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Nottawa Township, Precinct 1",Cornel West,1,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Park Township, Precinct 1",Cornel West,3,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Sherman Township, Precinct 1",Cornel West,2,Total,No Party Affiliation,President/Vice-President
St. Joseph,"Sturgis Township, Precinct 1",Cornel West,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"White Pigeon Township, Precinct 1",Cornel West,1,Total,No Party Affiliation,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 1",Cornel West,2,Total,No Party Affiliation,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 2",Cornel West,1,Total,No Party Affiliation,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 3",Cornel West,1,Total,No Party Affiliation,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 4",Cornel West,0,Total,No Party Affiliation,President/Vice-President
St. Joseph,"City of Three Rivers, Precinct 1",Cornel West,2,Total,No Party Affiliation,President/Vice-President
St. Joseph,"City of Three Rivers, Precinct 2",Cornel West,2,Total,No Party Affiliation,President/Vice-President
St. Joseph,ALL,Write-in,43,Total,,President/Vice-President
St. Joseph,"Burr Oak Township, Precinct 1",Write-in,2,Total,,President/Vice-President
St. Joseph,"Colon Township, Precinct 1",Write-in,7,Total,,President/Vice-President
St. Joseph,"Constantine Township, Precinct 1",Write-in,1,Total,,President/Vice-President
St. Joseph,"Constantine Township, Precinct 2",Write-in,0,Total,,President/Vice-President
St. Joseph,"Fabius Township, Precinct 1",Write-in,4,Total,,President/Vice-President
St. Joseph,"Fawn River Township, Precinct 1",Write-in,1,Total,,President/Vice-President
St. Joseph,"Florence Township, Precinct 1",Write-in,0,Total,,President/Vice-President
St. Joseph,"Flowerfield Township, Precinct 1",Write-in,1,Total,,President/Vice-President
St. Joseph,"Leonidas Township, Precinct 1",Write-in,0,Total,,President/Vice-President
St. Joseph,"Lockport Township, Precinct 1",Write-in,2,Total,,President/Vice-President
St. Joseph,"Mendon Township, Precinct 1",Write-in,0,Total,,President/Vice-President
St. Joseph,"Mottville Township, Precinct 1",Write-in,0,Total,,President/Vice-President
St. Joseph,"Nottawa Township, Precinct 1",Write-in,1,Total,,President/Vice-President
St. Joseph,"Park Township, Precinct 1",Write-in,1,Total,,President/Vice-President
St. Joseph,"Sherman Township, Precinct 1",Write-in,6,Total,,President/Vice-President
St. Joseph,"Sturgis Township, Precinct 1",Write-in,0,Total,,President/Vice-President
St. Joseph,"White Pigeon Township, Precinct 1",Write-in,0,Total,,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 1",Write-in,6,Total,,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 2",Write-in,2,Total,,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 3",Write-in,1,Total,,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 4",Write-in,1,Total,,President/Vice-President
St. Joseph,"City of Three Rivers, Precinct 1",Write-in,3,Total,,President/Vice-President
St. Joseph,"City of Three Rivers, Precinct 2",Write-in,4,Total,,President/Vice-President
St. Joseph,ALL,Elissa Slotkin,9194,Total,Democrat,US Senator
St. Joseph,"Burr Oak Township, Precinct 1",Elissa Slotkin,288,Total,Democrat,US Senator
St. Joseph,"Colon Township, Precinct 1",Elissa Slotkin,433,Total,Democrat,US Senator
St. Joseph,"Constantine Township, Precinct 1",Elissa Slotkin,308,Total,Democrat,US Senator
St. Joseph,"Constantine Township, Precinct 2",Elissa Slotkin,204,Total,Democrat,US Senator
St. Joseph,"Fabius Township, Precinct 1",Elissa Slotkin,692,Total,Democrat,US Senator
St. Joseph,"Fawn River Township, Precinct 1",Elissa Slotkin,191,Total,Democrat,US Senator
St. Joseph,"Florence Township, Precinct 1",Elissa Slotkin,132,Total,Democrat,US Senator
St. Joseph,"Flowerfield Township, Precinct 1",Elissa Slotkin,263,Total,Democrat,US Senator
St. Joseph,"Leonidas Township, Precinct 1",Elissa Slotkin,125,Total,Democrat,US Senator
St. Joseph,"Lockport Township, Precinct 1",Elissa Slotkin,796,Total,Democrat,US Senator
St. Joseph,"Mendon Township, Precinct 1",Elissa Slotkin,517,Total,Democrat,US Senator
St. Joseph,"Mottville Township, Precinct 1",Elissa Slotkin,157,Total,Democrat,US Senator
St. Joseph,"Nottawa Township, Precinct 1",Elissa Slotkin,557,Total,Democrat,US Senator
St. Joseph,"Park Township, Precinct 1",Elissa Slotkin,438,Total,Democrat,US Senator
St. Joseph,"Sherman Township, Precinct 1",Elissa Slotkin,509,Total,Democrat,US Senator
St. Joseph,"Sturgis Township, Precinct 1",Elissa Slotkin,264,Total,Democrat,US Senator
St. Joseph,"White Pigeon Township, Precinct 1",Elissa Slotkin,522,Total,Democrat,US Senator
St. Joseph,"City of Sturgis, Precinct 1",Elissa Slotkin,500,Total,Democrat,US Senator
St. Joseph,"City of Sturgis, Precinct 2",Elissa Slotkin,254,Total,Democrat,US Senator
St. Joseph,"City of Sturgis, Precinct 3",Elissa Slotkin,228,Total,Democrat,US Senator
St. Joseph,"City of Sturgis, Precinct 4",Elissa Slotkin,388,Total,Democrat,US Senator
St. Joseph,"City of Three Rivers, Precinct 1",Elissa Slotkin,732,Total,Democrat,US Senator
St. Joseph,"City of Three Rivers, Precinct 2",Elissa Slotkin,696,Total,Democrat,US Senator
St. Joseph,ALL,Mike Rogers,18544,Total,Republican,US Senator
St. Joseph,"Burr Oak Township, Precinct 1",Mike Rogers,912,Total,Republican,US Senator
St. Joseph,"Colon Township, Precinct 1",Mike Rogers,1108,Total,Republican,US Senator
St. Joseph,"Constantine Township, Precinct 1",Mike Rogers,769,Total,Republican,US Senator
St. Joseph,"Constantine Township, Precinct 2",Mike Rogers,538,Total,Republican,US Senator
St. Joseph,"Fabius Township, Precinct 1",Mike Rogers,1310,Total,Republican,US Senator
St. Joseph,"Fawn River Township, Precinct 1",Mike Rogers,563,Total,Republican,US Senator
St. Joseph,"Florence Township, Precinct 1",Mike Rogers,472,Total,Republican,US Senator
St. Joseph,"Flowerfield Township, Precinct 1",Mike Rogers,675,Total,Republican,US Senator
St. Joseph,"Leonidas Township, Precinct 1",Mike Rogers,427,Total,Republican,US Senator
St. Joseph,"Lockport Township, Precinct 1",Mike Rogers,1246,Total,Republican,US Senator
St. Joseph,"Mendon Township, Precinct 1",Mike Rogers,1004,Total,Republican,US Senator
St. Joseph,"Mottville Township, Precinct 1",Mike Rogers,521,Total,Republican,US Senator
St. Joseph,"Nottawa Township, Precinct 1",Mike Rogers,1140,Total,Republican,US Senator
St. Joseph,"Park Township, Precinct 1",Mike Rogers,876,Total,Republican,US Senator
St. Joseph,"Sherman Township, Precinct 1",Mike Rogers,1274,Total,Republican,US Senator
St. Joseph,"Sturgis Township, Precinct 1",Mike Rogers,609,Total,Republican,US Senator
St. Joseph,"White Pigeon Township, Precinct 1",Mike Rogers,1348,Total,Republican,US Senator
St. Joseph,"City of Sturgis, Precinct 1",Mike Rogers,827,Total,Republican,US Senator
St. Joseph,"City of Sturgis, Precinct 2",Mike Rogers,372,Total,Republican,US Senator
St. Joseph,"City of Sturgis, Precinct 3",Mike Rogers,439,Total,Republican,US Senator
St. Joseph,"City of Sturgis, Precinct 4",Mike Rogers,558,Total,Republican,US Senator
St. Joseph,"City of Three Rivers, Precinct 1",Mike Rogers,732,Total,Republican,US Senator
St. Joseph,"City of Three Rivers, Precinct 2",Mike Rogers,824,Total,Republican,US Senator
St. Joseph,ALL,Joseph Solis-Mullen,416,Total,Libertarian,US Senator
St. Joseph,"Burr Oak Township, Precinct 1",Joseph Solis-Mullen,18,Total,Libertarian,US Senator
St. Joseph,"Colon Township, Precinct 1",Joseph Solis-Mullen,19,Total,Libertarian,US Senator
St. Joseph,"Constantine Township, Precinct 1",Joseph Solis-Mullen,18,Total,Libertarian,US Senator
St. Joseph,"Constantine Township, Precinct 2",Joseph Solis-Mullen,19,Total,Libertarian,US Senator
St. Joseph,"Fabius Township, Precinct 1",Joseph Solis-Mullen,21,Total,Libertarian,US Senator
St. Joseph,"Fawn River Township, Precinct 1",Joseph Solis-Mullen,11,Total,Libertarian,US Senator
St. Joseph,"Florence Township, Precinct 1",Joseph Solis-Mullen,4,Total,Libertarian,US Senator
St. Joseph,"Flowerfield Township, Precinct 1",Joseph Solis-Mullen,12,Total,Libertarian,US Senator
St. Joseph,"Leonidas Township, Precinct 1",Joseph Solis-Mullen,5,Total,Libertarian,US Senator
St. Joseph,"Lockport Township, Precinct 1",Joseph Solis-Mullen,39,Total,Libertarian,US Senator
St. Joseph,"Mendon Township, Precinct 1",Joseph Solis-Mullen,22,Total,Libertarian,US Senator
St. Joseph,"Mottville Township, Precinct 1",Joseph Solis-Mullen,9,Total,Libertarian,US Senator
St. Joseph,"Nottawa Township, Precinct 1",Joseph Solis-Mullen,18,Total,Libertarian,US Senator
St. Joseph,"Park Township, Precinct 1",Joseph Solis-Mullen,25,Total,Libertarian,US Senator
St. Joseph,"Sherman Township, Precinct 1",Joseph Solis-Mullen,14,Total,Libertarian,US Senator
St. Joseph,"Sturgis Township, Precinct 1",Joseph Solis-Mullen,14,Total,Libertarian,US Senator
St. Joseph,"White Pigeon Township, Precinct 1",Joseph Solis-Mullen,22,Total,Libertarian,US Senator
St. Joseph,"City of Sturgis, Precinct 1",Joseph Solis-Mullen,22,Total,Libertarian,US Senator
